Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),modalprice,pricedate
1,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,2200,2200,2200,5-Feb-19
2,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,2200,2200,2200,30-Jan-19
3,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,2150,2250,2150,22-Jan-19
4,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1900,2250,2150,12-Jan-19
5,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,2175,2175,2175,10-Jan-19
6,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,2050,2050,2050,31-Dec-18
7,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,2025,2050,2025,26-Dec-18
8,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,2100,2100,2100,22-Dec-18
9,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,2000,2050,2000,17-Dec-18
10,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,2200,2600,2200,3-Nov-18
11,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,1800,1800,1-Nov-18
12,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,2100,2100,2100,24-Oct-18
13,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,2050,2050,2050,22-Oct-18
14,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,2100,2100,2100,10-Oct-18
15,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,2000,1800,5-Oct-18
16,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,2000,2000,2000,4-Oct-18
17,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1600,1500,15-Mar-18
18,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,10-Mar-18
19,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1150,1300,1175,30-Dec-16
20,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1211,1211,17-Nov-16
21,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1150,1150,9-Nov-16
22,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1175,1175,1175,8-Nov-16
23,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1361,1361,1361,7-Nov-16
24,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1111,1600,1400,5-Nov-16
25,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1201,1201,1201,4-Nov-16
26,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1150,1411,1200,3-Nov-16
27,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1150,1200,1200,2-Nov-16
28,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1150,1200,1175,31-Oct-16
29,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1425,1200,25-Oct-16
30,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1200,1200,24-Oct-16
31,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1160,1500,1400,22-Oct-16
32,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1175,1200,1200,21-Oct-16
33,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1457,1300,20-Oct-16
34,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1150,1200,1200,19-Oct-16
35,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1350,1600,1361,10-Oct-16
36,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1500,1450,8-Oct-16
37,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1475,1440,5-Oct-16
38,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1350,1500,1400,3-Oct-16
39,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1450,1450,1450,28-Sep-16
40,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1800,1425,27-Sep-16
41,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1451,1451,26-Sep-16
42,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1600,1501,24-Sep-16
