Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),modalprice,pricedate
1,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1500,1500,1500,31-Jul-18
2,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1650,1650,1650,28-Nov-17
3,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,2000,2350,2100,22-Nov-17
4,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,2011,2011,2011,20-Oct-17
5,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1850,2001,1950,12-Oct-17
6,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1800,1800,1800,11-Oct-17
7,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1700,1700,1700,9-Oct-17
8,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1700,1700,1700,3-Oct-17
9,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,2000,2900,2900,9-Sep-17
10,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1500,1500,1500,8-Sep-17
11,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1211,1800,1400,29-Aug-17
12,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1701,1701,1701,8-Aug-17
13,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1500,1500,1500,1-Aug-17
14,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1402,1560,1560,18-Jul-17
15,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1701,2000,1705,6-Jul-17
16,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1401,1401,1401,30-Jun-17
17,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1500,1600,1600,11-May-17
18,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1952,2250,2100,26-Apr-17
19,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1500,1500,1500,19-Apr-17
20,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1800,2300,1850,6-Apr-17
21,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1665,2650,1901,8-Mar-17
22,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1400,1400,1400,7-Mar-17
23,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,2700,2700,2700,27-Jan-17
24,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,2700,2700,2700,20-Jan-17
25,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,2700,2700,2700,13-Jan-17
26,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,2700,2700,2700,14-Dec-16
27,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1802,1812,1812,17-May-16
28,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,2002,2002,2002,7-May-16
29,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1601,1601,1601,4-Feb-16
30,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1700,1700,1700,9-Dec-15
31,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,2005,2005,2005,16-Sep-15
32,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1601,1601,1601,28-Jul-15
33,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1600,1600,1600,29-May-15
34,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1600,1600,1600,28-May-15
35,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1601,1601,1601,14-May-15
36,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1751,1751,1751,23-Apr-15
37,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1751,1751,1751,16-Apr-15
38,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1625,1625,1625,18-Mar-15
39,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,2211,2211,2211,13-Mar-15
40,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1700,1700,1700,20-Nov-14
41,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,2552,2552,2552,5-Nov-14
42,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,2000,2500,2100,3-Sep-14
43,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1520,2125,1600,27-Aug-14
44,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1535,2500,2500,23-Aug-14
45,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,2011,2011,2011,19-Aug-14
46,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,2011,2011,2011,13-Aug-14
47,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1521,2751,2511,12-Aug-14
48,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1525,2011,1801,6-Aug-14
49,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,2300,2451,2351,1-Aug-14
50,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,1520,2062,2062,31-Jul-14
51,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,2311,2625,2500,25-Jul-14
52,Sholapur,Akluj,Jowar(Sorghum),Other,FAQ,2000,2000,2000,21-Jul-14
