Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),modalprice,pricedate
1,Sholapur,Akluj,Maize,Yellow,FAQ,1850,1920,1880,30-Jan-19
2,Sholapur,Akluj,Maize,Yellow,FAQ,1830,1830,1830,22-Jan-19
3,Sholapur,Akluj,Maize,Other,FAQ,1740,1762,1751,19-Dec-18
4,Sholapur,Akluj,Maize,Other,FAQ,1600,1670,1670,11-Dec-18
5,Sholapur,Akluj,Maize,Other,FAQ,1375,1375,1375,30-Jul-18
6,Sholapur,Akluj,Maize,Other,FAQ,1225,1225,1225,21-Feb-18
7,Sholapur,Akluj,Maize,Yellow,FAQ,1200,1200,1200,30-Jan-18
8,Sholapur,Akluj,Maize,Other,FAQ,1180,1200,1200,16-Jan-18
9,Sholapur,Akluj,Maize,Other,FAQ,1160,1180,1160,8-Jan-18
10,Sholapur,Akluj,Maize,Yellow,FAQ,1200,1200,1200,28-Dec-17
11,Sholapur,Akluj,Maize,Yellow,FAQ,1210,1210,1210,26-Dec-17
12,Sholapur,Akluj,Maize,Other,FAQ,1220,1220,1220,25-Dec-17
13,Sholapur,Akluj,Maize,Other,FAQ,1220,1220,1220,23-Dec-17
14,Sholapur,Akluj,Maize,Yellow,FAQ,1220,1220,1220,18-Dec-17
15,Sholapur,Akluj,Maize,Yellow,FAQ,1085,1085,1085,16-Dec-17
16,Sholapur,Akluj,Maize,Yellow,FAQ,1220,1220,1220,7-Dec-17
17,Sholapur,Akluj,Maize,Other,FAQ,1220,1220,1220,6-Dec-17
18,Sholapur,Akluj,Maize,Other,FAQ,1120,1120,1120,23-Nov-17
19,Sholapur,Akluj,Maize,Yellow,FAQ,1050,1125,1120,18-Nov-17
20,Sholapur,Akluj,Maize,Yellow,FAQ,1100,1100,1100,14-Nov-17
21,Sholapur,Akluj,Maize,Yellow,FAQ,1150,1150,1150,10-Nov-17
22,Sholapur,Akluj,Maize,Yellow,FAQ,1181,1181,1181,8-Nov-17
23,Sholapur,Akluj,Maize,Yellow,FAQ,1171,1171,1171,2-Nov-17
24,Sholapur,Akluj,Maize,Yellow,FAQ,1275,1275,1275,26-Oct-17
25,Sholapur,Akluj,Maize,Yellow,FAQ,1300,1300,1300,24-Oct-17
26,Sholapur,Akluj,Maize,Yellow,FAQ,1325,1325,1325,18-Oct-17
27,Sholapur,Akluj,Maize,Yellow,FAQ,1325,1325,1325,17-Oct-17
28,Sholapur,Akluj,Maize,Yellow,FAQ,1350,1370,1370,12-Oct-17
29,Sholapur,Akluj,Maize,Yellow,FAQ,1320,1320,1320,10-Oct-17
30,Sholapur,Akluj,Maize,Yellow,FAQ,1350,1350,1350,7-Oct-17
31,Sholapur,Akluj,Maize,Yellow,FAQ,1300,1300,1300,29-Sep-17
32,Sholapur,Akluj,Maize,Yellow,FAQ,1350,1350,1350,28-Sep-17
33,Sholapur,Akluj,Maize,Yellow,FAQ,1400,1400,1400,20-Sep-17
34,Sholapur,Akluj,Maize,Yellow,FAQ,1450,1450,1450,12-Sep-17
35,Sholapur,Akluj,Maize,Yellow,FAQ,1450,1450,1450,7-Sep-17
36,Sholapur,Akluj,Maize,Yellow,FAQ,1520,1525,1525,4-Sep-17
37,Sholapur,Akluj,Maize,Yellow,FAQ,1540,1540,1540,28-Aug-17
38,Sholapur,Akluj,Maize,Yellow,FAQ,1510,1530,1525,21-Aug-17
39,Sholapur,Akluj,Maize,Yellow,FAQ,1510,1530,1525,19-Aug-17
40,Sholapur,Akluj,Maize,Yellow,FAQ,1420,1500,1500,16-Aug-17
41,Sholapur,Akluj,Maize,Yellow,FAQ,1510,1510,1510,14-Aug-17
42,Sholapur,Akluj,Maize,Yellow,FAQ,1580,1580,1580,1-Aug-17
43,Sholapur,Akluj,Maize,Yellow,FAQ,1500,1500,1500,31-Jul-17
44,Sholapur,Akluj,Maize,Yellow,FAQ,1525,1550,1550,27-Jul-17
45,Sholapur,Akluj,Maize,Other,FAQ,1525,1550,1550,27-Jul-17
46,Sholapur,Akluj,Maize,Yellow,FAQ,1500,1550,1550,25-Jul-17
47,Sholapur,Akluj,Maize,Yellow,FAQ,1225,1550,1535,21-Jul-17
48,Sholapur,Akluj,Maize,Yellow,FAQ,1515,1515,1515,20-Jul-17
49,Sholapur,Akluj,Maize,Other,FAQ,1515,1515,1515,20-Jul-17
50,Sholapur,Akluj,Maize,Yellow,FAQ,1525,1525,1525,13-Jul-17
51,Sholapur,Akluj,Maize,Yellow,FAQ,1500,1510,1510,12-Jul-17
52,Sholapur,Akluj,Maize,Yellow,FAQ,1530,1530,1530,11-Jul-17
53,Sholapur,Akluj,Maize,Yellow,FAQ,1500,1500,1500,5-Jul-17
54,Sholapur,Akluj,Maize,Other,FAQ,1500,1500,1500,30-Jun-17
55,Sholapur,Akluj,Maize,Yellow,FAQ,1471,1525,1520,27-Jun-17
56,Sholapur,Akluj,Maize,Yellow,FAQ,1500,1500,1500,13-Jun-17
57,Sholapur,Akluj,Maize,Other,FAQ,1445,1445,1445,1-Jun-17
58,Sholapur,Akluj,Maize,Yellow,FAQ,1450,1450,1450,31-May-17
59,Sholapur,Akluj,Maize,Yellow,FAQ,1470,1470,1470,30-May-17
60,Sholapur,Akluj,Maize,Yellow,FAQ,1400,1481,1450,4-May-17
61,Sholapur,Akluj,Maize,Other,FAQ,1410,1471,1420,26-Apr-17
62,Sholapur,Akluj,Maize,Yellow,FAQ,1440,1440,1440,22-Apr-17
63,Sholapur,Akluj,Maize,Yellow,FAQ,1410,1410,1410,19-Apr-17
64,Sholapur,Akluj,Maize,Yellow,FAQ,1410,1410,1410,5-Apr-17
65,Sholapur,Akluj,Maize,Yellow,FAQ,1400,1400,1400,22-Mar-17
66,Sholapur,Akluj,Maize,Yellow,FAQ,1410,1421,1421,7-Mar-17
67,Sholapur,Akluj,Maize,Yellow,FAQ,1410,1410,1410,3-Mar-17
68,Sholapur,Akluj,Maize,Yellow,FAQ,1400,1420,1400,7-Feb-17
69,Sholapur,Akluj,Maize,Yellow,FAQ,1420,1440,1420,6-Feb-17
70,Sholapur,Akluj,Maize,Yellow,FAQ,1370,1420,1400,4-Feb-17
71,Sholapur,Akluj,Maize,Yellow,FAQ,1370,1420,1400,2-Feb-17
72,Sholapur,Akluj,Maize,Yellow,FAQ,1380,1380,1380,1-Feb-17
73,Sholapur,Akluj,Maize,Yellow,FAQ,1390,1390,1390,28-Jan-17
74,Sholapur,Akluj,Maize,Yellow,FAQ,1365,1365,1365,27-Jan-17
