Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sholapur,Barshi,Wheat,Other,FAQ,1975,1975,1975,09-Feb-19
2,Sholapur,Barshi,Wheat,Other,FAQ,1600,2600,2000,06-Feb-19
3,Sholapur,Barshi,Wheat,Other,FAQ,2900,3000,2900,05-Feb-19
4,Sholapur,Barshi,Wheat,Other,FAQ,2000,2600,2000,02-Feb-19
5,Sholapur,Barshi,Wheat,Other,FAQ,2300,2300,2300,01-Feb-19
6,Sholapur,Barshi,Wheat,Other,FAQ,1975,1981,1975,31-Jan-19
7,Sholapur,Barshi,Wheat,Other,FAQ,1950,3040,2900,30-Jan-19
8,Sholapur,Barshi,Wheat,Other,FAQ,1975,1975,1975,29-Jan-19
9,Sholapur,Barshi,Wheat,Other,FAQ,2300,2300,2300,28-Jan-19
10,Sholapur,Barshi,Wheat,Other,FAQ,1975,3000,1975,25-Jan-19
11,Sholapur,Barshi,Wheat,Other,FAQ,1975,1975,1975,24-Jan-19
12,Sholapur,Barshi,Wheat,Other,FAQ,2650,2650,2650,23-Jan-19
13,Sholapur,Barshi,Wheat,Other,FAQ,1960,2400,1975,22-Jan-19
14,Sholapur,Barshi,Wheat,Other,FAQ,4400,4400,4400,21-Jan-19
15,Sholapur,Barshi,Wheat,Other,FAQ,1975,2300,1975,19-Jan-19
16,Sholapur,Barshi,Wheat,Other,FAQ,1500,2000,1961,16-Jan-19
17,Sholapur,Barshi,Wheat,Other,FAQ,2400,2400,2400,12-Jan-19
18,Sholapur,Barshi,Wheat,Other,FAQ,1950,2800,1950,10-Jan-19
19,Sholapur,Barshi,Wheat,Other,FAQ,2600,2600,2600,07-Jan-19
20,Sholapur,Barshi,Wheat,Other,FAQ,2800,2800,2800,03-Jan-19
21,Sholapur,Barshi,Wheat,Other,FAQ,1950,2600,1950,01-Jan-19
22,Sholapur,Barshi,Wheat,Other,FAQ,1950,1950,1950,31-Dec-18
23,Sholapur,Barshi,Wheat,Other,FAQ,1950,2800,1950,28-Dec-18
24,Sholapur,Barshi,Wheat,Other,FAQ,3500,3500,3500,26-Dec-18
25,Sholapur,Barshi,Wheat,Other,FAQ,1925,1950,1925,22-Dec-18
26,Sholapur,Barshi,Wheat,Other,FAQ,3000,3000,3000,21-Dec-18
27,Sholapur,Barshi,Wheat,Other,FAQ,1550,1550,1550,17-Dec-18
28,Sholapur,Barshi,Wheat,Other,FAQ,1900,1900,1900,15-Dec-18
29,Sholapur,Barshi,Wheat,Other,FAQ,1950,2300,1950,13-Dec-18
30,Sholapur,Barshi,Wheat,Other,FAQ,1950,1950,1950,12-Dec-18
31,Sholapur,Barshi,Wheat,Other,FAQ,1900,1925,1900,10-Dec-18
32,Sholapur,Barshi,Wheat,Other,FAQ,1900,1925,1900,08-Dec-18
33,Sholapur,Barshi,Wheat,Other,FAQ,2050,2050,2050,04-Dec-18
34,Sholapur,Barshi,Wheat,Other,FAQ,2900,2900,2900,03-Dec-18
35,Sholapur,Barshi,Wheat,Other,FAQ,1911,1925,1911,01-Dec-18
36,Sholapur,Barshi,Wheat,Other,FAQ,2950,2950,2950,29-Nov-18
37,Sholapur,Barshi,Wheat,Other,FAQ,1911,1925,1911,28-Nov-18
38,Sholapur,Barshi,Wheat,Other,FAQ,1900,1911,1900,26-Nov-18
39,Sholapur,Barshi,Wheat,Other,FAQ,1900,1925,1900,24-Nov-18
40,Sholapur,Barshi,Wheat,Other,FAQ,1900,2300,1911,22-Nov-18
41,Sholapur,Barshi,Wheat,Other,FAQ,1931,1931,1931,20-Nov-18
42,Sholapur,Barshi,Wheat,Other,FAQ,1875,3000,1921,17-Nov-18
43,Sholapur,Barshi,Wheat,Other,FAQ,1850,1850,1850,14-Nov-18
44,Sholapur,Barshi,Wheat,Other,FAQ,1900,1911,1900,12-Nov-18
45,Sholapur,Barshi,Wheat,Other,FAQ,1900,1900,1900,10-Nov-18
46,Sholapur,Barshi,Wheat,Other,FAQ,2700,3100,2700,08-Nov-18
47,Sholapur,Barshi,Wheat,Other,FAQ,2450,2450,2450,02-Nov-18
48,Sholapur,Barshi,Wheat,Other,FAQ,2100,2100,2100,01-Nov-18
49,Sholapur,Barshi,Wheat,Other,FAQ,1500,3254,2900,31-Oct-18
50,Sholapur,Barshi,Wheat,Other,FAQ,2300,2300,2300,29-Oct-18
51,Sholapur,Barshi,Wheat,Other,FAQ,2600,2600,2600,26-Oct-18
52,Sholapur,Barshi,Wheat,Other,FAQ,1881,1881,1881,23-Oct-18
53,Sholapur,Barshi,Wheat,Other,FAQ,2100,2100,2100,19-Oct-18
54,Sholapur,Barshi,Wheat,Other,FAQ,2311,2550,2375,18-Oct-18
55,Sholapur,Barshi,Wheat,Other,FAQ,2200,2200,2200,11-Oct-18
56,Sholapur,Barshi,Wheat,Other,FAQ,1850,2252,1850,10-Oct-18
57,Sholapur,Barshi,Wheat,Other,FAQ,1900,1900,1900,08-Oct-18
58,Sholapur,Barshi,Wheat,Other,FAQ,1850,2000,1850,27-Sep-18
59,Sholapur,Barshi,Wheat,Other,FAQ,1850,2200,1850,24-Sep-18
60,Sholapur,Barshi,Wheat,Other,FAQ,2301,2500,2301,22-Sep-18
61,Sholapur,Barshi,Wheat,Other,FAQ,1850,2100,2050,21-Sep-18
62,Sholapur,Barshi,Wheat,Other,FAQ,1800,2700,2200,19-Sep-18
63,Sholapur,Barshi,Wheat,Other,FAQ,1900,1900,1900,18-Apr-18
64,Sholapur,Barshi,Wheat,Other,FAQ,1900,2400,1900,17-Apr-18
65,Sholapur,Barshi,Wheat,Other,FAQ,1551,2300,1800,13-Apr-18
